Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
LCA/queryLCA/100,2.5188953717490384e-6,2.5144920566088577e-6,2.5242676136194143e-6,1.5601775030602606e-8,1.149073415510511e-8,2.0474866072961638e-8
LCA/queryLCA/10000,3.759958069432994e-4,3.749923366079054e-4,3.772249739924122e-4,3.503194082382282e-6,2.6905296796698875e-6,4.3189230321922265e-6
LCA/queryLCA/500000,9.815524125204951e-2,9.775111925880116e-2,9.870377740754284e-2,7.905605926620449e-4,3.3140511864297565e-4,1.026254184566345e-3
PQTree/buildPQ/100,1.0913104531417261e-6,1.0896932004428015e-6,1.093752412497062e-6,6.7568289003600525e-9,4.518885645404483e-9,1.0315746747027319e-8
PQTree/buildPQ/2000,2.1826051422658385e-5,2.1743163391945283e-5,2.1910458823446303e-5,2.8739277777629336e-7,2.429677399950126e-7,3.4900743861083987e-7
PQTree/reduceAllPQ/100,8.043983411562103e-4,8.029151047988703e-4,8.062182332093973e-4,5.927613982082155e-6,4.683275684308871e-6,7.787246207583679e-6
PQTree/reduceAllPQ/2000,0.3493673583333816,0.3466220375000262,0.3507696375000364,2.601947521002632e-3,1.368031461786625e-4,3.2384250173886284e-3
Prufer/seqToGraph/100,3.1070578841392086e-6,3.1043847088277103e-6,3.1096497219468394e-6,8.874908293680284e-9,7.48245261035132e-9,1.1327991593697797e-8
Prufer/seqToGraph/10000,1.1239336697020784e-3,1.1222745111052863e-3,1.1254227671649263e-3,5.524396836364806e-6,4.491505515518946e-6,7.679340728941535e-6
Prufer/seqToGraph/1000000,0.5528524687499896,0.5082933499998603,0.5966550375000566,5.342900063642081e-2,2.4286282374787183e-2,6.35955795978729e-2
Prufer/graphToSeq/100,7.163704270372626e-6,7.157604940284166e-6,7.1740698555400065e-6,2.558354660619711e-8,1.6475485586974423e-8,3.7594221502109034e-8
Prufer/graphToSeq/10000,2.3776284491783574e-3,2.3704840950021246e-3,2.385377244740116e-3,2.5884241699076926e-5,2.1721014476781696e-5,3.160481293274306e-5
Prufer/graphToSeq/1000000,1.3142350187499876,1.3017256187500834,1.32927449999994,1.6890886808120963e-2,5.208897429942495e-3,2.2943437817284407e-2
SparseTable/fromArraySP/100,1.233982612453665e-5,1.2305321652717665e-5,1.2370187325500643e-5,1.0646930623774282e-7,8.906540808127401e-8,1.2643581608766418e-7
SparseTable/fromArraySP/10000,8.078539192458555e-3,8.058185585301494e-3,8.099177356463698e-3,5.900981511031807e-5,4.582837331056947e-5,7.756726414287936e-5
SparseTable/fromArraySP/500000,1.067013145833376,1.0443041416665815,1.1070716750001566,3.8762238373794514e-2,3.7157493526527308e-3,4.872844932225582e-2
SparseTable/fromListSP/100,1.3236026891476606e-5,1.3189399370219665e-5,1.3288819358523306e-5,1.6339795983225056e-7,1.2584984141325648e-7,2.144145498606657e-7
SparseTable/fromListSP/10000,8.416631756751383e-3,8.391142226142187e-3,8.446308127519253e-3,7.70838463270949e-5,6.239285992297503e-5,1.0246024518403539e-4
SparseTable/fromListSP/500000,1.0997591416665575,1.0714612374999888,1.1492525874996318,4.713546292803425e-2,3.823280840023195e-3,5.906174896970669e-2
SparseTable/querySP/100,3.3776061168214024e-6,3.3724432254757654e-6,3.3855887880734816e-6,2.12393416323459e-8,1.49139999549709e-8,3.550894837062141e-8
SparseTable/querySP/10000,9.586488236448753e-4,9.578983354233497e-4,9.599501176568705e-4,3.170153325572665e-6,2.1589191347768033e-6,5.156229873171995e-6
SparseTable/querySP/500000,0.38152083958333094,0.38103705416668276,0.38228906250000705,7.265232839481561e-4,7.1831995432904356e-6,8.906590152528271e-4
SparseTable/query1SP/100,1.5247573325914058e-6,1.521940341622772e-6,1.5284451010553696e-6,1.0721975553177382e-8,8.442323579943242e-9,1.582276651265313e-8
SparseTable/query1SP/10000,2.3829119340982013e-4,2.3791768846590926e-4,2.3899740238879602e-4,1.7510335201353858e-6,9.740959839834083e-7,3.3054829057540123e-6
SparseTable/query1SP/500000,7.0286454830192e-2,7.006740438936092e-2,7.048728030302397e-2,3.728618674356436e-4,2.4389422334958037e-4,5.937932699108024e-4
