Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
KMP/prefixFuncBS/1000000,1.099991600331008e-2,1.0971573553664992e-2,1.1059996644641723e-2,1.0579126455099282e-4,4.12526724254928e-5,1.6540558421829598e-4
LCA/buildLCA/100,1.8176170664028875e-5,1.8142005523643487e-5,1.8220351394469442e-5,1.3117961882914412e-7,1.034342851796436e-7,1.8476926851288416e-7
LCA/buildLCA/10000,8.242466821522462e-3,8.215496226831745e-3,8.270332797090912e-3,7.283455932482149e-5,5.750887867533895e-5,9.944390548727768e-5
LCA/buildLCA/500000,1.2074021645824662,1.1857938999964972,1.2165339520828031,1.6111660095954307e-2,5.783279166886701e-3,2.108895988600797e-2
LCA/queryLCA/100,2.5188953717490384e-6,2.5144920566088577e-6,2.5242676136194143e-6,1.5601775030602606e-8,1.149073415510511e-8,2.0474866072961638e-8
LCA/queryLCA/10000,3.759958069432994e-4,3.749923366079054e-4,3.772249739924122e-4,3.503194082382282e-6,2.6905296796698875e-6,4.3189230321922265e-6
LCA/queryLCA/500000,9.815524125204951e-2,9.775111925880116e-2,9.870377740754284e-2,7.905605926620449e-4,3.3140511864297565e-4,1.026254184566345e-3
Mo/runMo/100,2.686450285897673e-5,2.678200073088834e-5,2.696654539058297e-5,2.994669361250407e-7,2.35637695929365e-7,3.802279894341254e-7
Mo/runMo/10000,1.69082182495805e-2,1.6868125814173674e-2,1.699046161478329e-2,1.3276401778674216e-4,5.437667428968875e-5,2.2020171293157136e-4
Mo/runMo/200000,1.2684795520833312,1.252312368750001,1.2848034208333274,1.7753221241008164e-2,1.0593654166662247e-2,2.5104012428496195e-2
PQTree/buildPQ/100,9.664046675742852e-7,9.645534465491015e-7,9.688652085381323e-7,7.417501201281733e-9,5.780061622184553e-9,9.54047061318283e-9
PQTree/buildPQ/2000,1.911540725970627e-5,1.9083820545773828e-5,1.9153625317347345e-5,1.1799852530495735e-7,8.917731965037712e-8,1.4881979555294594e-7
PQTree/reduceAllPQ/100,6.992941128727042e-4,6.982081665152254e-4,7.007627350161938e-4,4.33914875629317e-6,3.124578881450567e-6,5.988611042248014e-6
PQTree/reduceAllPQ/2000,0.3057028926666548,0.30305833266667304,0.30924256999995803,3.6958884058901943e-3,1.9891375000434656e-3,4.876182226532267e-3
Prufer/seqToGraph/100,3.1070578841392086e-6,3.1043847088277103e-6,3.1096497219468394e-6,8.874908293680284e-9,7.48245261035132e-9,1.1327991593697797e-8
Prufer/seqToGraph/10000,1.1239336697020784e-3,1.1222745111052863e-3,1.1254227671649263e-3,5.524396836364806e-6,4.491505515518946e-6,7.679340728941535e-6
Prufer/seqToGraph/1000000,0.5528524687499896,0.5082933499998603,0.5966550375000566,5.342900063642081e-2,2.4286282374787183e-2,6.35955795978729e-2
Prufer/graphToSeq/100,7.163704270372626e-6,7.157604940284166e-6,7.1740698555400065e-6,2.558354660619711e-8,1.6475485586974423e-8,3.7594221502109034e-8
Prufer/graphToSeq/10000,2.3776284491783574e-3,2.3704840950021246e-3,2.385377244740116e-3,2.5884241699076926e-5,2.1721014476781696e-5,3.160481293274306e-5
Prufer/graphToSeq/1000000,1.3142350187499876,1.3017256187500834,1.32927449999994,1.6890886808120963e-2,5.208897429942495e-3,2.2943437817284407e-2
SegTree/fromListST/100,7.653319100761588e-6,7.622587701860621e-6,7.716475169763922e-6,1.3457844601324167e-7,7.95580134519453e-8,2.406528066806713e-7
SegTree/fromListST/10000,2.003591013559722e-3,1.992704134232926e-3,2.038209208067921e-3,5.67993351579103e-5,2.3597178018476755e-5,1.1240233528994315e-4
SegTree/fromListST/500000,7.472217110910154e-2,7.3459828787969e-2,7.692760959589301e-2,2.7822184765578717e-3,1.560955566726668e-3,4.270366230163557e-3
SegTree/adjustST/100,1.1339440595776983e-5,1.1165807686996785e-5,1.1653869533204784e-5,7.89487413325773e-7,4.90288968803386e-7,1.1926896645964635e-6
SegTree/adjustST/10000,4.38782758848165e-3,4.354191462876618e-3,4.5431424354047e-3,1.7871761856063284e-4,6.578869125198251e-5,4.033575313514984e-4
SegTree/adjustST/500000,0.8490831520832671,0.8360331375001806,0.8604858812493603,1.5905865136762246e-2,8.861204166805692e-3,1.9905680507795183e-2
SegTree/foldRangeST/100,5.846066925986979e-6,5.8245071254441834e-6,5.895784019325694e-6,1.0641451363245193e-7,6.172092549260176e-8,1.8898933697954082e-7
SegTree/foldRangeST/10000,2.27523550312512e-3,2.2642782020122847e-3,2.296891422187742e-3,4.661317064666085e-5,2.771905827964106e-5,7.531926927543958e-5
SegTree/foldRangeST/500000,0.16538414863955694,0.16459732142863817,0.1658941285716407,9.822274643380951e-4,4.1127098825180974e-4,1.445096563124307e-3
SegTreeLazy/fromListLST/100,8.207979400348888e-6,8.187609358034725e-6,8.270684149475696e-6,1.1404955720935032e-7,4.311743508770324e-8,2.2411046151213684e-7
SegTreeLazy/fromListLST/10000,2.202652934384226e-3,2.190717015112809e-3,2.2240361687210597e-3,5.4134768946278986e-5,3.13666172184132e-5,1.0833857908457876e-4
SegTreeLazy/fromListLST/200000,4.078458620494264e-2,4.032517363798712e-2,4.1194108560738976e-2,9.033743243268444e-4,6.986190731411454e-4,1.1997767139429627e-3
SegTreeLazy/adjustLST/100,1.8101872184292167e-5,1.8053542857301495e-5,1.8173271048753328e-5,1.914854751065982e-7,1.3110248048946852e-7,2.6698633498734795e-7
SegTreeLazy/adjustLST/10000,9.680493402349725e-3,9.638232857065502e-3,9.783499981958212e-3,1.6048854199060496e-4,7.697552043338176e-5,3.117003625813528e-4
SegTreeLazy/adjustLST/200000,0.5265277083335604,0.518793050000113,0.5392788583335459,1.207883488152148e-2,3.432716666793567e-3,1.5548851039503013e-2
SegTreeLazy/updateRangeLST/100,2.1973198873273902e-5,2.194014378342118e-5,2.20365186957655e-5,1.4829588140116088e-7,1.0249445586830835e-7,2.3189522696164304e-7
SegTreeLazy/updateRangeLST/10000,1.5808436345574873e-2,1.572694654811024e-2,1.591310116963962e-2,2.4409874290750192e-4,1.8878208338136152e-4,3.3896092954824786e-4
SegTreeLazy/updateRangeLST/200000,0.9371898375002274,0.9302407750001294,0.949923850000232,1.2421282708767644e-2,7.694924390385591e-4,1.5278679981150081e-2
SegTreeLazy/foldRangeLST/100,8.112041032214067e-6,8.094264429360355e-6,8.136265573239872e-6,6.711772329258079e-8,4.8447754685117894e-8,1.028243788334194e-7
SegTreeLazy/foldRangeLST/10000,2.6174157740844815e-3,2.6084560646543486e-3,2.6279702693116132e-3,3.381176546016542e-5,2.734321698080848e-5,4.431872864370346e-5
SegTreeLazy/foldRangeLST/200000,6.973761058403981e-2,6.943032824674565e-2,7.010756873959754e-2,6.18690793054971e-4,4.775482216749957e-4,7.448040130539206e-4
Sort/sort/100,9.554488483987698e-6,9.508530502854322e-6,9.597598160797722e-6,1.4534882140257395e-7,1.2541890124875487e-7,1.698413802124605e-7
Sort/sort/10000,2.1818083950491e-3,2.1756630570151938e-3,2.1895684020253455e-3,2.349231165524328e-5,1.8892948352297504e-5,2.984759112791051e-5
Sort/sort/500000,0.2327656030555529,0.23121808444444192,0.2368985555555538,3.3470219805700717e-3,2.871701520157188e-4,4.647647690882049e-3
Sort/sortU/100,6.996222864045709e-6,6.988005692158348e-6,7.008260047604517e-6,3.268726444698647e-8,2.4917350498338695e-8,4.548776943573193e-8
Sort/sortU/10000,1.5215092459896066e-3,1.5196813487306263e-3,1.5238798061789406e-3,7.271794295473658e-6,6.067484358486264e-6,8.746378753270413e-6
Sort/sortU/500000,0.10620489603616483,0.10550211862875686,0.10766816907409091,1.5803303252880263e-3,6.659511033677842e-4,2.5851052406692934e-3
Sort/Data.List.sort/100,9.321082052601399e-6,9.313467794671696e-6,9.33298006198285e-6,3.1017024672536365e-8,2.3508533821149873e-8,4.5393363083921306e-8
Sort/Data.List.sort/10000,4.511294811325345e-3,4.505365379357627e-3,4.521577665406921e-3,2.4262849384544442e-5,1.7309440007716186e-5,3.8930890535785984e-5
Sort/Data.List.sort/500000,0.8718925500000125,0.862967674999993,0.8869369125000617,1.4391615623101954e-2,1.256425000008221e-3,1.8097130790350694e-2
SparseTable/fromArraySP/100,1.233982612453665e-5,1.2305321652717665e-5,1.2370187325500643e-5,1.0646930623774282e-7,8.906540808127401e-8,1.2643581608766418e-7
SparseTable/fromArraySP/10000,8.078539192458555e-3,8.058185585301494e-3,8.099177356463698e-3,5.900981511031807e-5,4.582837331056947e-5,7.756726414287936e-5
SparseTable/fromArraySP/500000,1.067013145833376,1.0443041416665815,1.1070716750001566,3.8762238373794514e-2,3.7157493526527308e-3,4.872844932225582e-2
SparseTable/fromListSP/100,1.3236026891476606e-5,1.3189399370219665e-5,1.3288819358523306e-5,1.6339795983225056e-7,1.2584984141325648e-7,2.144145498606657e-7
SparseTable/fromListSP/10000,8.416631756751383e-3,8.391142226142187e-3,8.446308127519253e-3,7.70838463270949e-5,6.239285992297503e-5,1.0246024518403539e-4
SparseTable/fromListSP/500000,1.0997591416665575,1.0714612374999888,1.1492525874996318,4.713546292803425e-2,3.823280840023195e-3,5.906174896970669e-2
SparseTable/querySP/100,3.3776061168214024e-6,3.3724432254757654e-6,3.3855887880734816e-6,2.12393416323459e-8,1.49139999549709e-8,3.550894837062141e-8
SparseTable/querySP/10000,9.586488236448753e-4,9.578983354233497e-4,9.599501176568705e-4,3.170153325572665e-6,2.1589191347768033e-6,5.156229873171995e-6
SparseTable/querySP/500000,0.38152083958333094,0.38103705416668276,0.38228906250000705,7.265232839481561e-4,7.1831995432904356e-6,8.906590152528271e-4
SparseTable/query1SP/100,1.5247573325914058e-6,1.521940341622772e-6,1.5284451010553696e-6,1.0721975553177382e-8,8.442323579943242e-9,1.582276651265313e-8
SparseTable/query1SP/10000,2.3829119340982013e-4,2.3791768846590926e-4,2.3899740238879602e-4,1.7510335201353858e-6,9.740959839834083e-7,3.3054829057540123e-6
SparseTable/query1SP/500000,7.0286454830192e-2,7.006740438936092e-2,7.048728030302397e-2,3.728618674356436e-4,2.4389422334958037e-4,5.937932699108024e-4
TwoSat/solve2Sat/100,3.985600637773864e-5,3.971317872009517e-5,4.007427888894946e-5,5.953391720105521e-7,3.9035139225910893e-7,8.524270508127577e-7
TwoSat/solve2Sat/10000,1.2990003983982597e-2,1.2923308490565302e-2,1.3129979755331098e-2,2.4116940216690295e-4,7.734758883431127e-5,3.9129124160265503e-4
TwoSat/solve2Sat/200000,0.7772246395833236,0.7717059125000105,0.7872962333333362,9.886726145592122e-3,1.502313512196582e-4,1.2594722917319754e-2
ZFunc/zFuncBS/100,2.0562285963966527e-6,2.0500751226960263e-6,2.063813790163408e-6,2.3367934260299538e-8,1.6532485813583055e-8,2.9201718151750358e-8
ZFunc/zFuncBS/10000,2.184398700084589e-4,2.1750652317833075e-4,2.206650077857017e-4,4.730567685674505e-6,2.5971449085504214e-6,9.760566062190958e-6
ZFunc/zFuncBS/1000000,2.1188394522194058e-2,2.107937460535642e-2,2.139229097341724e-2,3.427369101217922e-4,1.9735909736035904e-4,6.040387074917477e-4
